epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,268.393,0.67162,0.97113,0.72831,0.97833,0.57543,0.22323,0.22023,0.15794,0.57543,0.22323,0.22023,0.16739,1.35457,3.24738,2.67997,1.22976,0.0005842,0.0005842,0.0005842
44,275.174,0.66395,0.96825,0.66096,0.92944,0.5784,0.21212,0.21227,0.15598,0.5784,0.21212,0.21227,0.15814,1.37242,3.49091,2.72628,1.2532,0.0005743,0.0005743,0.0005743
45,282.38,0.63816,0.85698,0.61561,0.93188,0.5771,0.21534,0.21057,0.15536,0.5771,0.21534,0.21057,0.16892,1.30401,3.75275,2.71415,1.1978,0.0005644,0.0005644,0.0005644
46,289.271,0.63826,0.89889,0.65165,0.93489,0.52121,0.21768,0.21501,0.1567,0.52121,0.21768,0.21758,0.16621,1.3786,3.66028,2.59636,1.23558,0.0005545,0.0005545,0.0005545
47,296.52,0.66487,0.92305,0.66949,0.95106,0.62302,0.21212,0.23711,0.17303,0.58083,0.21768,0.24333,0.18552,1.35105,3.66394,2.5479,1.22679,0.0005446,0.0005446,0.0005446
48,303.494,0.66314,0.92454,0.62879,0.94751,0.61,0.20657,0.23417,0.1796,0.61,0.20657,0.23868,0.17967,1.37781,3.77655,2.61862,1.24959,0.0005347,0.0005347,0.0005347
49,310.624,0.6287,0.88408,0.65013,0.93176,0.54736,0.21212,0.22083,0.17846,0.54736,0.21212,0.22478,0.16645,1.27201,3.44971,2.70696,1.1936,0.0005248,0.0005248,0.0005248
50,317.667,0.66628,0.9059,0.64246,0.94737,0.59138,0.21731,0.22917,0.18514,0.59138,0.21731,0.23176,0.17093,1.25921,3.25195,2.65674,1.19369,0.0005149,0.0005149,0.0005149
51,324.358,0.63932,0.90203,0.6219,0.93348,0.5647,0.22879,0.22391,0.17284,0.5647,0.22879,0.22391,0.17859,1.37285,3.39203,2.68626,1.21237,0.000505,0.000505,0.000505
52,330.257,0.62202,0.84162,0.59789,0.91881,0.5512,0.23434,0.22145,0.16251,0.5512,0.23434,0.22145,0.16955,1.33254,3.53027,2.57737,1.21353,0.0004951,0.0004951,0.0004951
53,336.076,0.634,0.82874,0.60066,0.92722,0.50424,0.21113,0.19955,0.14858,0.50424,0.21113,0.19963,0.15474,1.33114,3.91113,2.75378,1.22076,0.0004852,0.0004852,0.0004852
54,341.887,0.639,0.90753,0.6084,0.92639,0.64671,0.19899,0.20953,0.16967,0.64671,0.19899,0.21123,0.1649,1.31639,4.10522,2.87074,1.19915,0.0004753,0.0004753,0.0004753
55,347.583,0.62696,0.92805,0.58884,0.92765,0.64705,0.19545,0.21233,0.16827,0.64705,0.19545,0.21356,0.16972,1.34635,3.92761,3.00667,1.20638,0.0004654,0.0004654,0.0004654
56,353.296,0.57809,0.87585,0.57875,0.91615,0.55079,0.20657,0.22376,0.17769,0.56388,0.21212,0.22714,0.17755,1.30619,3.66302,2.85162,1.17519,0.0004555,0.0004555,0.0004555
57,358.918,0.61093,0.93992,0.56764,0.91485,0.58499,0.20101,0.22525,0.17719,0.60016,0.20657,0.23036,0.18182,1.33167,3.65295,2.79895,1.18947,0.0004456,0.0004456,0.0004456
